开学第一天我校线上教学平稳进行,http://xwzx.cumt.edu.cn/00/8f/c513a589967/page.htm,2021-03-01
我校新增10个国家级一流本科专业建设点,http://xwzx.cumt.edu.cn/00/90/c513a589968/page.htm,2021-03-01
我校新增4个本科专业,http://xwzx.cumt.edu.cn/00/3c/c513a589884/page.htm,2021-02-28
我校召开中层干部大会,http://xwzx.cumt.edu.cn/00/22/c513a589858/page.htm,2021-02-27
我校举行校领导班子和领导干部2020年度述职测评大会,http://xwzx.cumt.edu.cn/00/10/c513a589840/page.htm,2021-02-26
我校校友朴永超荣获全国脱贫攻坚先进个人称号,http://xwzx.cumt.edu.cn/00/0c/c513a589836/page.htm,2021-02-26
